W/L,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,O-FG,O-FGA,O-FG%,O-3P,O-3PA,O-3P%,O-FT,O-FTA,O-FT%,O-ORB,O-TRB,O-AST,O-STL,O-BLK,O-TOV,O-PF
L,39,105,0.371,14,38,0.368,21,25,0.84,15,53,21,11,6,11,22,42,91,0.462,12,23,0.522,24,28,0.857,8,54,22,9,7,15,22
W,50,106,0.472,20,35,0.571,13,16,0.813,20,57,26,6,5,13,19,40,86,0.465,10,30,0.333,22,28,0.786,7,38,25,6,12,13,17
W,45,92,0.489,15,40,0.375,25,28,0.893,11,51,23,7,6,10,20,37,88,0.42,9,32,0.281,26,30,0.867,8,44,26,7,6,11,21
W,47,91,0.516,16,36,0.444,18,20,0.9,8,50,24,3,2,10,17,40,95,0.421,13,41,0.317,16,19,0.842,11,42,20,6,3,8,18
W,44,85,0.518,19,38,0.5,22,26,0.846,3,36,27,8,5,9,18,43,89,0.483,20,39,0.513,13,15,0.867,10,45,29,3,6,18,21
L,43,95,0.453,17,41,0.415,11,14,0.786,8,39,25,7,4,8,15,44,84,0.524,20,41,0.488,15,18,0.833,5,49,32,6,3,11,18
W,53,92,0.576,16,33,0.485,19,25,0.76,11,54,26,7,9,10,20,37,92,0.402,13,38,0.342,18,26,0.692,12,42,23,9,3,8,18
W,37,88,0.42,12,37,0.324,20,21,0.952,6,44,22,6,2,8,20,37,89,0.416,11,30,0.367,16,22,0.727,10,49,19,2,4,14,20
W,45,97,0.464,12,34,0.353,22,30,0.733,18,63,24,3,5,8,15,37,93,0.398,8,30,0.267,20,23,0.87,7,40,17,6,5,7,24
W,47,92,0.511,18,40,0.45,28,35,0.8,12,47,30,7,4,9,18,42,85,0.494,18,38,0.474,27,28,0.964,7,44,30,5,2,13,26
W,40,91,0.44,13,32,0.406,12,17,0.706,9,39,17,7,6,5,18,35,85,0.412,12,40,0.3,16,21,0.762,15,53,15,4,4,10,22
L,44,81,0.543,15,33,0.455,14,18,0.778,1,33,23,7,3,13,18,41,88,0.466,13,32,0.406,23,26,0.885,10,42,22,4,3,11,17
W,46,87,0.529,18,43,0.419,22,26,0.846,11,51,24,3,6,13,16,44,98,0.449,14,37,0.378,14,15,0.933,10,36,20,8,2,6,20
W,38,79,0.481,11,30,0.367,19,27,0.704,6,48,21,7,7,18,26,36,85,0.424,9,37,0.243,21,26,0.808,6,39,17,6,0,11,23
L,41,98,0.418,11,44,0.25,10,13,0.769,10,40,25,8,5,11,23,39,86,0.453,5,23,0.217,23,33,0.697,15,56,20,4,9,18,22
W,46,94,0.489,14,35,0.4,10,11,0.909,8,44,34,6,3,9,20,36,76,0.474,10,23,0.435,18,25,0.72,3,39,21,5,4,15,23
W,37,84,0.44,19,47,0.404,18,19,0.947,12,43,24,7,4,10,18,37,77,0.481,3,24,0.125,9,18,0.5,7,41,18,8,3,16,14
W,41,84,0.488,17,33,0.515,7,10,0.7,5,41,26,5,6,15,17,35,84,0.417,12,34,0.353,13,19,0.684,10,46,16,8,3,13,15
W,37,76,0.487,13,35,0.371,19,21,0.905,8,37,24,1,4,17,20,39,86,0.453,12,29,0.414,13,16,0.813,8,38,28,7,1,11,25
L,37,75,0.493,10,33,0.303,23,28,0.821,7,40,23,4,3,13,22,40,83,0.482,17,29,0.586,15,19,0.789,8,37,24,5,2,10,22
W,40,83,0.482,21,40,0.525,22,24,0.917,8,41,30,4,3,10,23,39,79,0.494,14,35,0.4,23,32,0.719,10,42,18,6,5,12,19
L,41,91,0.451,17,52,0.327,6,13,0.462,9,50,24,10,7,21,25,37,90,0.411,11,34,0.324,25,29,0.862,9,46,23,13,4,14,14
W,46,94,0.489,16,41,0.39,17,17,1,4,40,33,6,2,2,17,44,92,0.478,12,29,0.414,17,24,0.708,13,52,23,2,4,10,19
L,39,87,0.448,4,27,0.148,25,30,0.833,8,42,21,3,6,6,22,48,92,0.522,15,34,0.441,17,28,0.607,14,53,29,3,3,7,23
L,40,88,0.455,15,36,0.417,9,16,0.563,12,44,30,8,4,18,20,41,83,0.494,11,26,0.423,15,20,0.75,9,40,31,13,3,15,15
W,42,89,0.472,8,34,0.235,17,19,0.895,8,45,25,6,11,17,21,37,88,0.42,10,31,0.323,19,22,0.864,7,39,17,11,5,16,19
L,47,94,0.5,17,44,0.386,15,15,1,9,45,30,7,4,16,23,53,103,0.515,6,26,0.231,18,19,0.947,10,43,32,12,1,9,15
L,41,102,0.402,16,53,0.302,14,18,0.778,7,50,26,8,4,9,31,40,97,0.412,15,36,0.417,25,32,0.781,12,65,22,4,3,16,20
L,36,95,0.379,15,43,0.349,10,12,0.833,9,49,19,7,3,13,16,38,85,0.447,16,40,0.4,10,14,0.714,5,48,21,7,8,14,19
